Subject: _2
Session: 
Group: 
Time: 29.716226816177368
Consecuences: 0
Distance: 1.778cm
Velocity: 0.06cm/seg

Frame;Time;X;Y;Distance;Consecuences
0;0.0;0.0;0.0;0.0;0.0
1;1.021;0.0;0.0;0.0;0.0
2;1.46;0.0;0.0;0.0;0.0
3;1.887;0.0;0.0;0.0;0.0
4;2.318;0.0;0.0;0.0;0.0
5;2.724;0.0;0.0;0.0;0.0
6;3.16;0.0;0.0;0.0;0.0
7;3.58;0.0;0.0;0.0;0.0
8;4.01;0.0;0.0;0.0;0.0
9;4.45;0.0;0.0;0.0;0.0
10;4.855;0.0;0.0;0.0;0.0
11;5.3;0.0;0.0;0.0;0.0
12;5.75;0.0;0.0;0.0;0.0
13;6.19;0.0;0.0;0.0;0.0
14;6.62;0.0;0.0;0.0;0.0
15;7.055;0.0;0.0;0.0;0.0
16;7.49;0.0;0.0;0.0;0.0
17;7.905;0.0;0.0;0.0;0.0
18;8.334;0.0;0.0;0.0;0.0
19;8.765;0.0;0.0;0.0;0.0
20;9.215;0.0;0.0;0.0;0.0
21;9.65;0.0;0.0;0.0;0.0
22;10.08;0.0;0.0;0.0;0.0
23;10.499;0.0;0.0;0.0;0.0
24;10.94;0.0;0.0;0.0;0.0
25;11.374;0.0;0.0;0.0;0.0
26;11.81;0.0;0.0;0.0;0.0
27;12.24;0.0;0.0;0.0;0.0
28;12.636;0.352;1.169;0.746;0.0
29;13.044;0.614;0.336;0.537;0.0
30;13.439;0.614;0.336;0.0;0.0
31;13.85;0.614;0.336;0.0;0.0
32;14.258;0.614;0.336;0.0;0.0
33;14.655;0.614;0.336;0.0;0.0
34;15.057;0.614;0.336;0.0;0.0
35;15.454;0.614;0.336;0.0;0.0
36;15.865;0.614;0.336;0.0;0.0
37;16.264;0.614;0.336;0.0;0.0
38;16.66;0.614;0.336;0.0;0.0
39;17.057;0.614;0.336;0.0;0.0
40;17.465;0.614;0.336;0.0;0.0
41;17.87;0.614;0.336;0.0;0.0
42;18.272;0.614;0.336;0.0;0.0
43;18.678;0.614;0.336;0.0;0.0
44;19.077;0.614;0.336;0.0;0.0
45;19.495;0.614;0.336;0.0;0.0
46;19.889;0.614;0.336;0.0;0.0
47;20.28;0.614;0.336;0.0;0.0
48;20.784;0.614;0.336;0.0;0.0
49;21.269;0.614;0.336;0.0;0.0
50;21.668;0.614;0.336;0.0;0.0
51;22.113;0.614;0.336;0.0;0.0
52;22.502;0.614;0.336;0.0;0.0
53;22.892;0.614;0.336;0.0;0.0
54;23.28;0.614;0.336;0.0;0.0
55;23.69;0.614;0.336;0.0;0.0
56;24.08;0.614;0.336;0.0;0.0
57;24.476;0.614;0.336;0.0;0.0
58;24.87;0.614;0.336;0.0;0.0
59;25.27;0.614;0.336;0.0;0.0
60;25.679;0.981;0.925;0.495;0.0
61;26.096;0.981;0.925;0.0;0.0
62;26.49;0.981;0.925;0.0;0.0
63;26.895;0.981;0.925;0.0;0.0
64;27.3;0.981;0.925;0.0;0.0
65;27.704;0.981;0.925;0.0;0.0
66;28.11;0.981;0.925;0.0;0.0
67;28.505;0.981;0.925;0.0;0.0
68;28.905;0.981;0.925;0.0;0.0
69;29.319;0.981;0.925;0.0;0.0
70;29.716;0.981;0.925;0.0;0.0
